fecha,tna_diaria_pct
2019-07-24,48.46
2019-07-25,49.03
2019-07-26,46.62
2019-07-29,48.55
2019-07-30,47.81
2019-07-31,48.29
2019-08-01,49.5
2019-08-02,48.81
2019-08-05,47.52
2019-08-06,49.22
2019-08-07,50.33
2019-08-08,49.45
2019-08-09,49.13
2019-08-12,50.63
2019-08-13,54.8
2019-08-14,55.49
2019-08-15,55.53
2019-08-16,55.31
2019-08-20,53.89
2019-08-21,51.44
2019-08-22,56.51
2019-08-23,56.06
2019-08-26,55.41
2019-08-27,56.33
2019-08-28,57.35
2019-08-29,52.47
2019-08-30,56.73
2019-09-02,59.89
2019-09-03,57.5
2019-09-04,54.32
2019-09-05,57.64
2019-09-06,57.53
2019-09-09,57.51
2019-09-10,56.86
2019-09-11,58.59
2019-09-12,58.55
2019-09-13,58.53
2019-09-16,56.71
2019-09-17,58.43
2019-09-18,58.77
2019-09-19,56.82
2019-09-20,52.48
2019-09-23,57.53
2019-09-24,59.31
2019-09-25,57.26
2019-09-26,57.89
2019-09-27,57.9
2019-09-30,57.75
2019-10-01,58.56
2019-10-02,59.33
2019-10-03,57.42
2019-10-04,53.41
2019-10-07,55.65
2019-10-08,57.62
2019-10-09,55.29
2019-10-10,54.08
2019-10-11,55.32
2019-10-15,55.06
2019-10-16,53.07
2019-10-17,54.57
2019-10-18,54.96
2019-10-21,49.97
2019-10-22,54.64
2019-10-23,52.78
2019-10-24,53.19
2019-10-25,52.5
2019-10-28,52.83
2019-10-29,51.6
2019-10-30,49.41
2019-10-31,48.91
2019-11-01,48.68
2019-11-04,46.09
2019-11-05,47.31
2019-11-07,46.04
2019-11-08,45.94
2019-11-11,46.4
2019-11-12,45.9
2019-11-13,45.78
2019-11-14,45.01
2019-11-15,44.72
2019-11-19,45.01
2019-11-20,42.57
2019-11-21,44.69
2019-11-22,44.63
2019-11-25,44.59
2019-11-26,44.62
2019-11-27,44.13
2019-11-28,44.33
2019-11-29,43.99
2019-12-02,44.39
2019-12-03,42.88
2019-12-04,41.2
2019-12-05,43.51
2019-12-06,43.31
2019-12-09,41.36
2019-12-10,42.28
2019-12-11,41.63
2019-12-12,41.64
2019-12-13,42.25
2019-12-16,41.14
2019-12-17,41.39
2019-12-18,41.61
2019-12-19,40.74
2019-12-20,37.72
2019-12-23,39.85
2019-12-26,38.13
2019-12-27,38.18
2019-12-30,37.8
2020-01-02,37.0
2020-01-03,36.36
2020-01-06,36.14
2020-01-07,37.16
2020-01-08,35.45
2020-01-09,36.86
2020-01-10,36.58
2020-01-13,35.54
2020-01-14,36.04
2020-01-15,34.7
2020-01-16,35.64
2020-01-17,35.48
2020-01-20,33.49
2020-01-21,34.92
2020-01-22,34.39
2020-01-23,34.16
2020-01-24,33.57
2020-01-27,32.92
2020-01-28,33.72
2020-01-29,33.45
2020-01-30,33.63
2020-01-31,33.36
2020-02-03,32.77
2020-02-04,33.44
2020-02-05,33.11
2020-02-06,33.47
2020-02-07,32.07
2020-02-10,33.3
2020-02-11,33.91
2020-02-12,32.44
2020-02-13,33.43
2020-02-14,32.08
2020-02-17,33.19
2020-02-18,32.96
2020-02-19,30.62
2020-02-20,32.25
2020-02-21,31.14
2020-02-26,29.64
2020-02-27,30.51
2020-02-28,30.36
2020-03-02,29.92
2020-03-03,30.25
2020-03-04,28.87
2020-03-05,29.2
2020-03-06,27.89
2020-03-09,27.88
2020-03-10,28.71
2020-03-11,28.94
2020-03-12,28.47
2020-03-13,27.02
2020-03-16,27.18
2020-03-17,28.17
2020-03-18,28.62
2020-03-19,28.33
2020-03-20,25.14
2020-03-25,28.34
2020-03-26,28.45
2020-03-27,26.43
2020-03-30,27.27
2020-04-01,25.22
2020-04-02,26.74
2020-04-03,25.04
2020-04-06,25.91
2020-04-07,24.84
2020-04-08,22.04
2020-04-13,20.95
2020-04-14,20.52
2020-04-15,18.66
2020-04-16,18.74
2020-04-17,19.23
2020-04-20,20.51
2020-04-21,20.9
2020-04-22,20.96
2020-04-23,20.14
2020-04-24,22.01
2020-04-27,20.94
2020-04-28,21.44
2020-04-29,20.97
2020-04-30,19.59
2020-05-04,21.72
2020-05-05,22.32
2020-05-06,22.63
2020-05-07,22.42
2020-05-08,22.49
2020-05-11,23.92
2020-05-12,22.11
2020-05-13,22.86
2020-05-14,22.58
2020-05-15,24.06
2020-05-18,25.68
2020-05-19,25.85
2020-05-20,25.85
2020-05-21,26.42
2020-05-22,25.82
2020-05-26,25.84
2020-05-27,25.7
2020-05-28,25.77
2020-05-29,25.2
2020-06-01,29.44
2020-06-02,27.42
2020-06-03,27.58
2020-06-04,29.46
2020-06-05,29.45
2020-06-08,28.66
2020-06-09,29.27
2020-06-10,29.27
2020-06-11,29.37
2020-06-12,28.61
2020-06-16,29.32
2020-06-17,28.89
2020-06-18,28.98
2020-06-19,29.11
2020-06-22,29.5
2020-06-23,29.27
2020-06-24,29.64
2020-06-25,29.06
2020-06-26,29.24
2020-06-29,28.73
2020-06-30,29.29
2020-07-01,29.48
2020-07-02,28.04
2020-07-03,27.78
2020-07-06,28.71
2020-07-07,29.47
2020-07-08,28.32
2020-07-13,28.94
2020-07-14,28.78
2020-07-15,28.16
2020-07-16,28.86
2020-07-17,28.36
2020-07-20,29.31
2020-07-21,29.39
2020-07-22,29.31
2020-07-23,28.57
2020-07-24,29.07
2020-07-27,28.83
2020-07-28,26.86
2020-07-29,28.64
2020-07-30,29.11
2020-07-31,28.35
2020-08-03,29.33
2020-08-04,30.33
2020-08-05,29.3
2020-08-06,30.45
2020-08-07,29.24
2020-08-10,31.01
2020-08-11,30.73
2020-08-12,29.92
2020-08-13,30.3
2020-08-14,30.61
2020-08-18,30.45
2020-08-19,30.11
2020-08-20,30.74
2020-08-21,30.03
2020-08-24,28.24
2020-08-25,30.44
2020-08-26,30.18
2020-08-27,30.12
2020-08-28,29.7
2020-08-31,30.25
2020-09-01,30.73
2020-09-02,29.11
2020-09-03,30.26
2020-09-04,28.94
2020-09-07,29.15
2020-09-08,30.54
2020-09-09,30.46
2020-09-10,29.55
2020-09-11,29.61
2020-09-14,30.65
2020-09-15,30.53
2020-09-16,30.72
2020-09-17,30.08
2020-09-18,30.01
2020-09-21,30.38
2020-09-22,28.59
2020-09-23,29.51
2020-09-24,30.37
2020-09-25,30.0
2020-09-28,30.11
2020-09-29,28.82
2020-09-30,30.07
2020-10-01,29.48
2020-10-02,28.84
2020-10-05,29.79
2020-10-06,30.82
2020-10-07,29.5
2020-10-08,30.4
2020-10-09,30.33
2020-10-13,29.81
2020-10-14,30.55
2020-10-15,30.65
2020-10-16,30.99
2020-10-19,31.61
2020-10-20,32.27
2020-10-21,31.67
2020-10-22,31.88
2020-10-23,31.18
2020-10-26,31.82
2020-10-27,28.98
2020-10-28,31.61
2020-10-29,31.57
2020-10-30,30.79
2020-11-02,30.88
2020-11-03,31.42
2020-11-04,30.97
2020-11-05,31.85
2020-11-09,31.56
2020-11-10,32.25
2020-11-11,31.88
2020-11-12,31.22
2020-11-13,34.46
2020-11-16,34.67
2020-11-17,33.76
2020-11-18,34.07
2020-11-19,34.28
2020-11-20,34.2
2020-11-24,34.1
2020-11-25,33.9
2020-11-26,34.55
2020-11-27,34.24
2020-11-30,33.79
2020-12-01,34.85
2020-12-02,33.01
2020-12-03,34.68
2020-12-04,34.42
2020-12-09,34.07
2020-12-10,34.64
2020-12-11,34.56
2020-12-14,33.94
2020-12-15,33.89
2020-12-16,34.65
2020-12-17,34.72
2020-12-18,34.27
2020-12-21,34.04
2020-12-22,34.25
2020-12-23,34.4
2020-12-28,34.02
2020-12-29,34.41
2020-12-30,33.83
2021-01-04,34.12
2021-01-05,33.33
2021-01-06,34.01
2021-01-07,34.13
2021-01-08,33.97
2021-01-11,34.83
2021-01-12,34.72
2021-01-13,34.3
2021-01-14,34.22
2021-01-15,34.71
2021-01-18,34.29
2021-01-19,34.71
2021-01-20,33.78
2021-01-21,34.37
2021-01-22,34.46
2021-01-25,34.95
2021-01-26,34.32
2021-01-27,33.93
2021-01-28,34.61
2021-01-29,33.86
2021-02-01,34.94
2021-02-02,34.33
2021-02-03,33.63
2021-02-04,33.75
2021-02-05,34.24
2021-02-08,34.37
2021-02-09,34.27
2021-02-10,34.64
2021-02-11,34.38
2021-02-12,34.17
2021-02-17,34.28
2021-02-18,34.56
2021-02-19,34.09
2021-02-22,34.5
2021-02-23,34.84
2021-02-24,34.55
2021-02-25,33.8
2021-02-26,33.74
2021-03-01,34.0
2021-03-02,34.22
2021-03-03,34.74
2021-03-04,34.25
2021-03-05,33.44
2021-03-08,34.13
2021-03-09,34.62
2021-03-10,34.03
2021-03-11,33.91
2021-03-12,34.18
2021-03-15,34.31
2021-03-16,34.53
2021-03-17,34.5
2021-03-18,34.55
2021-03-19,34.16
2021-03-22,34.36
2021-03-23,34.5
2021-03-25,34.39
2021-03-26,34.52
2021-03-29,33.7
2021-03-30,34.61
2021-03-31,33.84
2021-04-05,33.95
2021-04-06,34.5
2021-04-07,33.77
2021-04-08,34.61
2021-04-09,34.1
2021-04-12,33.97
2021-04-13,34.55
2021-04-14,34.17
2021-04-15,34.19
2021-04-16,34.57
2021-04-19,34.19
2021-04-20,34.16
2021-04-21,34.18
2021-04-22,34.07
2021-04-23,33.76
2021-04-26,34.44
2021-04-27,34.66
2021-04-28,33.74
2021-04-29,34.11
2021-04-30,33.53
2021-05-03,34.77
2021-05-04,34.88
2021-05-05,34.01
2021-05-06,34.58
2021-05-07,33.82
2021-05-10,34.27
